clamp_magnitude,forward,forward_ci95,sideways,sideways_ci95,n_participants,ballistic_fraction,sample_percent,panel,path_type
84.94560669456067,-4.306099158813701,,8.51834329686752,,,0.2,20.0,Human,smoothed_path
85.64853556485355,-4.328044462298548,,8.490466227720693,,,0.2,20.0,Human,smoothed_path
86.35146443514644,-4.350701805418244,,8.45569131620018,,,0.2,20.0,Human,smoothed_path
87.05439330543932,-4.373928383538145,,8.41378136194746,,,0.2,20.0,Human,smoothed_path
87.75732217573221,-4.397564910774453,,8.364529410699063,,,0.2,20.0,Human,smoothed_path
88.46025104602509,-4.421436120216377,,8.307759778770906,,,0.2,20.0,Human,smoothed_path
89.16317991631799,-4.445351375243155,,8.243328916269633,,,0.2,20.0,Human,smoothed_path
89.86610878661087,-4.469105380271447,,8.171126102943585,,,0.2,20.0,Human,smoothed_path
90.56903765690376,-4.492478978990777,,8.091073971394334,,,0.2,20.0,Human,smoothed_path
91.27196652719664,-4.515240028203538,,8.00312885332833,,,0.2,20.0,Human,smoothed_path
91.97489539748953,-4.537144335771645,,7.9072809456258994,,,0.2,20.0,Human,smoothed_path
92.67782426778243,-4.557936651864838,,7.803554294226044,,,0.2,20.0,Human,smoothed_path
93.3807531380753,-4.5773517036768085,,7.692006595150181,,,0.2,20.0,Human,smoothed_path
94.0836820083682,-4.595115264986962,,7.572728813392467,,,0.2,20.0,Human,smoothed_path
94.78661087866108,-4.6109452533527415,,7.4458446218620775,,,0.2,20.0,Human,smoothed_path
95.48953974895397,-4.624552849267755,,7.31150966404528,,,0.2,20.0,Human,smoothed_path
96.19246861924685,-4.635643633257943,,7.1699106455328705,,,0.2,20.0,Human,smoothed_path
96.89539748953975,-4.643918738551248,,7.021264261001397,,,0.2,20.0,Human,smoothed_path
97.59832635983263,-4.649076018583896,,6.865815964616453,,,0.2,20.0,Human,smoothed_path
98.30125523012552,-4.650811230136556,,6.703838593114786,,,0.2,20.0,Human,smoothed_path
99.0041841004184,-4.648819234266818,,6.535630851995499,,,0.2,20.0,Human,smoothed_path
99.7071129707113,-4.642795218364566,,6.361515676286629,,,0.2,20.0,Human,smoothed_path
100.41004184100417,-4.632435943553823,,6.181838478234923,,,0.2,20.0,Human,smoothed_path
101.11297071129707,-4.617441022255462,,5.996965294979407,,,0.2,20.0,Human,smoothed_path
101.81589958158995,-4.5975142309754515,,5.807280849805208,,,0.2,20.0,Human,smoothed_path
102.51882845188284,-4.572364863268706,,5.613186540927851,,,0.2,20.0,Human,smoothed_path
103.22175732217572,-4.541709127335237,,5.415098371931343,,,0.2,20.0,Human,smoothed_path
103.92468619246861,-4.505271591831187,,5.213444837979569,,,0.2,20.0,Human,smoothed_path
104.62761506276149,-4.462786682231779,,5.008664781750243,,,0.2,20.0,Human,smoothed_path
105.33054393305439,-4.414000228487602,,4.801205232715764,,,0.2,20.0,Human,smoothed_path
106.03347280334727,-4.358671062802646,,4.5915192429330025,,,0.2,20.0,Human,smoothed_path
106.73640167364016,-4.2965726641753,,4.380063731922493,,,0.2,20.0,Human,smoothed_path
107.43933054393305,-4.227494843935446,,4.16729735253826,,,0.2,20.0,Human,smoothed_path
108.14225941422593,-4.15124546394308,,3.953678388974102,,,0.2,20.0,Human,smoothed_path
108.84518828451883,-4.067652176455343,,3.739662697243937,,,0.2,20.0,Human,smoothed_path
109.5481171548117,-3.9765641719928757,,3.5257016976346716,,,0.2,20.0,Human,smoothed_path
110.2510460251046,-3.8778539189200645,,3.312240427781794,,,0.2,20.0,Human,smoothed_path
110.95397489539748,-3.7714188759755505,,3.099715664180822,,,0.2,20.0,Human,smoothed_path
111.65690376569037,-3.657183156726599,,2.8885541191390844,,,0.2,20.0,Human,smoothed_path
112.35983263598325,-3.5350991229486963,,2.6791707194083187,,,0.2,20.0,Human,smoothed_path
113.06276150627615,-3.405148882319886,,2.471966972030674,,,0.2,20.0,Human,smoothed_path
113.76569037656903,-3.2673456646315016,,2.2673294222890434,,,0.2,20.0,Human,smoothed_path
