ppid,clamp_magnitude,base_sd,n_baseline,pointer
146859203465,110,7.5424471977052665,10,Trackpad
146859203465,120,7.061073142435377,10,Trackpad
146859203465,130,6.816529273062334,10,Trackpad
149687730008,55,9.466155792575291,10,Mouse
149687730008,65,32.24143504811307,10,Mouse
149687730008,75,20.98710830968491,10,Mouse
149687730008,85,20.398435973464153,10,Mouse
154695465695,95,6.700564366454641,10,Trackpad
154695465695,105,9.56160969049884,10,Trackpad
154695465695,115,3.953685090445991,10,Trackpad
154695465695,125,8.952460257784981,10,Trackpad
156593167223,20,9.664296928848648,10,Mouse
156593167223,30,6.905835600170968,10,Mouse
156593167223,40,8.88450614376901,10,Mouse
156593167223,50,11.44532807058332,10,Mouse
157286867732,3,3.6220781263942707,10,Trackpad
157286867732,5,6.477821217531398,10,Trackpad
157286867732,7,6.910281191885749,10,Trackpad
157286867732,10,3.0536995818827153,10,Trackpad
158240405377,15,10.27557852613373,10,Mouse
158240405377,25,10.471811566161001,10,Mouse
158240405377,35,10.363987082331906,10,Mouse
158240405377,45,11.10418688408341,10,Mouse
163470105268,60,4.597272391109959,10,Trackpad
163470105268,70,8.223858979490023,10,Trackpad
163470105268,80,5.157171193717817,10,Trackpad
163470105268,90,8.037356085854602,10,Trackpad
163796231616,2,8.069089566655993,10,Mouse
163796231616,4,6.854938370336069,10,Mouse
163796231616,6,9.678577845565988,10,Mouse
163796231616,8,8.789142094772554,10,Mouse
164780952734,60,8.626610344618719,10,Trackpad
164780952734,70,8.124982638676746,10,Trackpad
164780952734,80,3.087078744275762,10,Trackpad
164780952734,90,5.9310591921951294,10,Trackpad
16847613267,140,4.880725408885641,10,Mouse
16847613267,150,5.031889603927712,10,Mouse
16847613267,160,7.503214835266779,10,Mouse
16847613267,170,6.285073736001133,10,Mouse
170080221025,60,11.924851033211704,10,Mouse
170080221025,70,14.18565882300736,10,Mouse
170080221025,80,16.454048129712472,10,Mouse
170080221025,90,13.561105904728652,10,Mouse
1721418462,135,29.26138100713477,10,Trackpad
1721418462,145,8.148381781816795,10,Trackpad
1721418462,155,9.864677679020554,10,Trackpad
1721418462,165,7.122193767470873,10,Trackpad
172440417576,95,8.782456653907799,10,Mouse
172440417576,105,6.030699878098468,10,Mouse
172440417576,115,8.512102718066402,10,Mouse
172440417576,125,10.011537025815821,10,Mouse
175094375154,55,3.948162668137652,10,Mouse
175094375154,65,4.906678383560857,10,Mouse
175094375154,75,8.660701382956411,10,Mouse
175094375154,85,7.163425973017668,10,Mouse
177578993607,55,5.498433792322406,10,Trackpad
177578993607,65,7.120485234744122,10,Trackpad
177578993607,75,6.265627307290793,10,Trackpad
177578993607,85,9.232997573032105,10,Trackpad
183824516134,140,11.450153595578248,10,Mouse
183824516134,150,10.92231377341297,10,Mouse
183824516134,160,9.270747881926493,10,Mouse
183824516134,170,14.071459333885858,10,Mouse
18545178463,3,9.484260014646193,10,Trackpad
18545178463,5,4.8438087151303595,10,Trackpad
18545178463,7,5.982187663599403,10,Trackpad
18545178463,10,5.817360545405708,10,Trackpad
186217949958,100,13.328449977358526,10,Mouse
186217949958,110,9.868220412646165,10,Mouse
186217949958,120,7.118191293252322,10,Mouse
186217949958,130,10.007188153132324,10,Mouse
193100401433,15,10.610209845620384,10,Mouse
193100401433,25,5.188726946765573,10,Mouse
193100401433,35,4.0708195993114815,10,Mouse
193100401433,45,6.846203130722085,10,Mouse
19706308376,55,7.887039624668027,10,Mouse
19706308376,65,5.789666633797711,10,Mouse
19706308376,75,5.535501583372686,10,Mouse
19706308376,85,7.691369732191617,10,Mouse
199718243908,140,2.6302567602568545,10,Trackpad
199718243908,150,7.475997349249745,10,Trackpad
199718243908,160,4.03050168774506,10,Trackpad
199718243908,170,6.563114964649796,10,Trackpad
204680910799,20,31.380055844097377,10,Mouse
204680910799,30,39.28195647144991,10,Mouse
204680910799,40,12.911809008943486,10,Mouse
204680910799,50,18.61598671266274,10,Mouse
205160485114,55,6.373220449366806,10,Trackpad
