ppid,clamp_magnitude,baseline_bias,pointer
37822414888,120,2.517215383052823,Mouse
37822414888,130,2.610818481445321,Mouse
381056854035,135,-0.1642230987548839,Trackpad
381056854035,145,-7.913035583496094,Trackpad
381056854035,155,2.9616149902343807,Trackpad
381056854035,165,-3.1346069335937385,Trackpad
381467347498,55,8.529592895507804,Mouse
381467347498,65,4.009866333007818,Mouse
381467347498,75,-1.8830543518066434,Mouse
381467347498,85,12.498279953002928,Mouse
383627469185,15,2.234188842773432,Trackpad
383627469185,25,-0.8436569213867131,Trackpad
383627469185,35,34.16566853635013,Trackpad
383627469185,45,25.290980529785156,Trackpad
385475812479,2,-19.007135009765626,Mouse
385475812479,4,33.34506711959838,Mouse
385475812479,6,9.947279357910158,Mouse
385475812479,8,-13.825770664215089,Mouse
38639956153,2,19.23266143798828,Trackpad
38639956153,4,14.973675537109376,Trackpad
38639956153,6,-8.728201293945308,Trackpad
38639956153,8,-7.471675300598145,Trackpad
390771680977,15,2.421099853515622,Trackpad
394487149082,20,7.918176651000977,Trackpad
394487149082,30,-2.7926658630371084,Trackpad
394487149082,40,17.125854492187493,Trackpad
394487149082,50,0.30681304931640624,Trackpad
395056795561,135,5.629917907714841,Trackpad
395056795561,145,1.9621978759765626,Trackpad
395056795561,155,3.2903408050537104,Trackpad
395056795561,165,-10.616195678710938,Trackpad
395156049868,95,-7.487455749511719,Trackpad
395156049868,105,-9.082929992675782,Trackpad
395156049868,115,-1.5713516235351506,Trackpad
395156049868,125,-9.353515625,Trackpad
398109816713,15,-17.101329040527332,Mouse
398109816713,25,-15.725106620788575,Mouse
398109816713,35,-1.1585479736328126,Mouse
398109816713,45,-9.002915954589842,Mouse
399793741991,140,-7.072725677490231,Mouse
399793741991,150,-8.909414863586425,Mouse
399793741991,160,3.888787841796875,Mouse
399793741991,170,-5.682363891601568,Mouse
400006499374,60,4.015257263183597,Trackpad
400006499374,70,14.88927841186523,Trackpad
400006499374,80,1.990618896484375,Trackpad
400006499374,90,-4.313769149780275,Trackpad
401611892739,15,36.044610595703126,Trackpad
401611892739,25,-2.0775617599487335,Trackpad
401611892739,35,10.738894844055176,Trackpad
406984957400,55,15.579405212402344,Mouse
406984957400,65,-0.064029312133788,Mouse
406984957400,75,3.152313232421875,Mouse
406984957400,85,16.960965728759767,Mouse
408276378177,135,-12.206649780273443,Mouse
408276378177,145,-13.606898498535156,Mouse
408276378177,155,-11.760446739196778,Mouse
408276378177,165,-12.13375854492187,Mouse
409510251833,140,-12.641718482971191,Mouse
409510251833,150,-16.445764160156237,Mouse
409510251833,160,-9.70354614257813,Mouse
409510251833,170,-17.43272018432617,Mouse
412116680061,95,-6.312960815429688,Mouse
412116680061,105,-14.94030990600586,Mouse
412116680061,115,-0.7012939453125,Mouse
412116680061,125,9.287658500671387,Mouse
413611575961,3,0.023717498779296874,Trackpad
413611575961,5,-5.044185638427733,Trackpad
413611575961,7,-5.59195404052735,Trackpad
413611575961,10,-1.3188873291015624,Trackpad
415114416275,55,4.885471534729005,Mouse
415114416275,65,9.753187561035173,Mouse
415114416275,75,11.9267822265625,Mouse
415114416275,85,1.6562873840332046,Mouse
416004814207,60,-2.1638946533203125,Mouse
416004814207,70,10.433645629882818,Mouse
416004814207,80,7.4575569152832015,Mouse
416004814207,90,0.4627807617187491,Mouse
418817504309,135,-18.026540565490723,Mouse
418817504309,145,-15.652041625976562,Mouse
418817504309,155,-14.010042572021485,Mouse
418817504309,165,-5.331813049316409,Mouse
42404767125,3,-8.405000305175781,Trackpad
42404767125,5,1.0476745605468742,Trackpad
42404767125,7,-3.351300048828122,Trackpad
42404767125,10,-8.358139038085932,Trackpad
424813729943,3,13.93632431030274,Mouse
424813729943,5,19.33244323730469,Mouse
424813729943,7,24.184215259552005,Mouse
424813729943,10,14.4422607421875,Mouse
426775530911,95,3.302308082580565,Mouse
426775530911,105,8.542981719970703,Mouse
426775530911,115,2.2378692626953125,Mouse
426775530911,125,6.390580749511718,Mouse
427979396888,135,-8.555030059814452,Mouse
427979396888,145,-5.7825439453125,Mouse
427979396888,155,-8.990637207031252,Mouse
427979396888,165,2.103223419189453,Mouse
432379164500,20,-14.241921234130857,Mouse
432379164500,30,0.38900756835937605,Mouse
432379164500,40,0.14610443115233523,Mouse
432379164500,50,-2.5553009033203127,Mouse
435751852346,15,4.312820434570318,Trackpad
435751852346,25,8.18349304199219,Trackpad
435751852346,35,-18.874731063842773,Trackpad
435751852346,45,-1.213507843017577,Trackpad
437488567084,55,6.080921173095703,Mouse
437488567084,65,11.840240478515629,Mouse
